// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
60468		9.746498	-0.116381	0.602201	-0.020693	0.016186	0.004824	0.435856	-0.553029	-0.400454	-0.586366	-10.441906	-86.058917	-97.001150
60469		9.790675	-0.149121	0.628068	-0.025238	0.017887	0.006308	0.435832	-0.553021	-0.400374	-0.586446	-10.417585	-86.050814	-97.035660
60470		9.792161	-0.147394	0.605376	-0.014724	0.014244	0.006432	0.435792	-0.553049	-0.400286	-0.586509	-10.432564	-86.046046	-97.033441
60471		9.749733	-0.072576	0.636399	-0.006837	0.017016	0.003754	0.435810	-0.552999	-0.400270	-0.586554	-10.378401	-86.038699	-97.087300
60472		9.747004	-0.097324	0.636030	-0.020017	0.029809	0.007093	0.435845	-0.552925	-0.400219	-0.586632	-10.318753	-86.025221	-97.148153
60473		9.678025	-0.104189	0.535102	-0.015735	0.024908	0.008495	0.435868	-0.552881	-0.400146	-0.586707	-10.296940	-86.012934	-97.174693
60474		9.699861	-0.090992	0.613674	-0.016200	0.014409	0.004863	0.435874	-0.552862	-0.400120	-0.586738	-10.281366	-86.008304	-97.192164
60475		9.718166	-0.123718	0.662193	-0.017928	0.014182	0.010923	0.435876	-0.552859	-0.400058	-0.586782	-10.296297	-86.001817	-97.183129
60476		9.715458	-0.148585	0.661263	-0.008068	0.021747	0.002440	0.435942	-0.552759	-0.400094	-0.586803	-10.212762	-85.993356	-97.256185
60477		9.765408	-0.151691	0.641540	-0.008290	0.015815	-0.000944	0.435939	-0.552706	-0.400089	-0.586858	-10.124483	-85.987150	-97.345073
60478		9.741094	-0.148988	0.641577	-0.013078	0.012950	0.000287	0.435891	-0.552692	-0.400061	-0.586925	-10.043768	-85.983780	-97.433274
60479		9.717740	-0.124805	0.668215	-0.014816	0.009913	0.001603	0.435867	-0.552675	-0.400043	-0.586972	-9.988467	-85.980635	-97.492853
60480		9.744474	-0.103599	0.673195	-0.016290	0.010078	0.000035	0.435820	-0.552668	-0.400025	-0.587025	-9.918304	-85.978892	-97.569501
60481		9.793774	-0.087817	0.703928	-0.020858	0.013144	0.004651	0.435794	-0.552662	-0.399973	-0.587086	-9.886573	-85.973617	-97.608922
60482		9.794383	-0.107516	0.654133	-0.020777	0.014666	0.004736	0.435831	-0.552593	-0.400008	-0.587100	-9.815746	-85.968877	-97.672365
60483		9.819413	-0.089420	0.684117	-0.020557	0.020597	0.008123	0.435831	-0.552571	-0.399932	-0.587173	-9.801507	-85.959052	-97.694072
60484		9.794103	-0.109068	0.658057	-0.017161	0.025150	0.005412	0.435811	-0.552541	-0.399849	-0.587271	-9.750959	-85.948218	-97.754561
60485		9.792265	-0.112168	0.684802	-0.015503	0.026665	0.004014	0.435825	-0.552482	-0.399786	-0.587360	-9.693165	-85.935363	-97.817032
60486		9.742716	-0.128996	0.657776	-0.018629	0.028121	0.008589	0.435859	-0.552413	-0.399738	-0.587432	-9.642614	-85.922566	-97.868639
60487		9.745100	-0.105762	0.663281	-0.020021	0.029809	0.007105	0.435876	-0.552360	-0.399646	-0.587532	-9.608315	-85.907633	-97.910151
60488		9.742312	-0.130786	0.663376	-0.021680	0.028294	0.008502	0.435873	-0.552335	-0.399540	-0.587630	-9.595061	-85.894706	-97.934019
60489		9.742113	-0.131752	0.666098	-0.018630	0.028122	0.008590	0.435894	-0.552288	-0.399451	-0.587719	-9.574307	-85.880584	-97.961154
60490		9.716006	-0.132496	0.691543	-0.014136	0.026340	0.008637	0.435940	-0.552224	-0.399409	-0.587774	-9.546974	-85.868763	-97.987834
60491		9.717526	-0.130869	0.669716	-0.014299	0.023296	0.008466	0.435963	-0.552181	-0.399344	-0.587841	-9.529416	-85.857379	-98.009275
60492		9.721660	-0.105035	0.650481	-0.015771	0.023463	0.006897	0.436018	-0.552116	-0.399322	-0.587876	-9.507132	-85.847360	-98.027946
60493		9.720639	-0.127266	0.625556	-0.008336	0.018544	0.005337	0.436039	-0.552068	-0.399294	-0.587925	-9.468250	-85.838957	-98.067338
60494		9.719675	-0.109062	0.678433	-0.007054	0.016694	0.009872	0.436053	-0.552054	-0.399244	-0.587962	-9.479287	-85.832434	-98.059774
60495		9.722152	-0.085796	0.682722	-0.007027	0.015333	0.006736	0.436075	-0.552015	-0.399223	-0.587996	-9.454832	-85.825714	-98.083949
60496		9.747119	-0.108103	0.634400	-0.008526	0.014059	0.003555	0.436089	-0.551973	-0.399227	-0.588022	-9.407525	-85.821283	-98.129295
60497		9.745295	-0.111214	0.659960	-0.004059	0.013637	0.006740	0.436117	-0.551933	-0.399218	-0.588046	-9.383747	-85.815520	-98.151086
60498		9.770280	-0.093048	0.689623	-0.007136	0.012370	0.005039	0.436139	-0.551881	-0.399242	-0.588061	-9.326149	-85.811894	-98.203884
60499		9.769329	-0.115057	0.663858	-0.004032	0.012276	0.003604	0.436154	-0.551838	-0.399245	-0.588088	-9.280019	-85.807190	-98.248071
60500		9.720802	-0.109905	0.662391	-0.006838	0.017017	0.003772	0.436180	-0.551791	-0.399239	-0.588117	-9.243646	-85.801065	-98.282254
60501		9.744902	-0.113160	0.665406	-0.005449	0.015327	0.005256	0.436202	-0.551746	-0.399227	-0.588152	-9.207458	-85.794481	-98.317285
60502		9.723184	-0.086736	0.668194	-0.003869	0.015321	0.003777	0.436213	-0.551713	-0.399213	-0.588184	-9.175216	-85.789294	-98.349679
60503		9.722228	-0.108750	0.642714	-0.006974	0.015414	0.005211	0.436232	-0.551670	-0.399195	-0.588222	-9.139668	-85.782663	-98.384945
60504		9.745430	-0.093044	0.696783	-0.008526	0.014060	0.003554	0.436239	-0.551634	-0.399191	-0.588253	-9.095126	-85.778205	-98.429052
60505		9.769538	-0.096382	0.699604	-0.010161	0.013985	0.006558	0.436249	-0.551606	-0.399164	-0.588291	-9.073678	-85.772259	-98.452010
60506		9.746976	-0.091737	0.675430	-0.009998	0.017030	0.006731	0.436289	-0.551550	-0.399167	-0.588311	-9.041118	-85.765830	-98.480126
60507		9.718271	-0.116450	0.697050	-0.008528	0.016861	0.008303	0.436315	-0.551513	-0.399133	-0.588349	-9.028694	-85.758099	-98.493095
60508		9.748515	-0.090727	0.654349	-0.007111	0.013811	0.006650	0.436344	-0.551474	-0.399135	-0.588363	-9.007319	-85.753489	-98.511241
60509		9.744011	-0.118069	0.677502	-0.005122	0.021415	0.005606	0.436381	-0.551411	-0.399109	-0.588413	-8.967058	-85.743423	-98.550165
60510		9.746483	-0.094522	0.682131	-0.005368	0.016849	0.005345	0.436399	-0.551370	-0.399094	-0.588447	-8.933602	-85.737196	-98.583083
60511		9.741965	-0.121635	0.705282	-0.002124	0.018359	0.002475	0.436429	-0.551303	-0.399092	-0.588490	-8.871847	-85.729134	-98.641839
60512		9.742652	-0.100434	0.734040	0.000870	0.018102	0.004094	0.436461	-0.551239	-0.399100	-0.588521	-8.815159	-85.722283	-98.694319
60513		9.741700	-0.122206	0.708833	-0.000543	0.018352	0.000997	0.436491	-0.551165	-0.399107	-0.588563	-8.741755	-85.714346	-98.763849
60514		9.739763	-0.125054	0.734899	-0.002099	0.019800	0.004087	0.436526	-0.551101	-0.399105	-0.588598	-8.692230	-85.706527	-98.809837
60515		9.767425	-0.123159	0.689914	-0.005205	0.019894	0.005518	0.436559	-0.551042	-0.399082	-0.588644	-8.654260	-85.697318	-98.846514
60516		9.741269	-0.123683	0.714474	-0.008451	0.018384	0.008387	0.436582	-0.551014	-0.399042	-0.588681	-8.655222	-85.689936	-98.847024
60517		9.742934	-0.122047	0.692120	-0.009951	0.019913	0.009952	0.436615	-0.550974	-0.398993	-0.588726	-8.653432	-85.680335	-98.850145
60518		9.723808	-0.071990	0.698109	-0.012944	0.020170	0.008332	0.436625	-0.550952	-0.398933	-0.588781	-8.650136	-85.671926	-98.858374
60519		9.744463	-0.121306	0.671717	-0.008451	0.018384	0.008388	0.436654	-0.550911	-0.398896	-0.588823	-8.637576	-85.663326	-98.871434
60520		9.745903	-0.079085	0.727564	-0.006787	0.019900	0.006998	0.436697	-0.550848	-0.398890	-0.588854	-8.602068	-85.655169	-98.903050
60521		9.743151	-0.103842	0.726488	-0.006976	0.015416	0.005210	0.436715	-0.550806	-0.398872	-0.588892	-8.568481	-85.648523	-98.936349
60522		9.722498	-0.096314	0.678116	-0.006836	0.017020	0.003773	0.436716	-0.550778	-0.398840	-0.588940	-8.538082	-85.642283	-98.969714
60523		9.743958	-0.123650	0.678581	-0.006754	0.018542	0.003861	0.436737	-0.550723	-0.398820	-0.588988	-8.491097	-85.633978	-99.016323
60524		9.718568	-0.102511	0.729820	-0.010166	0.013988	0.006551	0.436699	-0.550744	-0.398740	-0.589051	-8.498749	-85.629218	-99.020385
60525		9.744506	-0.103349	0.708585	-0.008501	0.015504	0.005163	0.436713	-0.550705	-0.398718	-0.589092	-8.465990	-85.622523	-99.053733
60526		9.773066	-0.080085	0.690244	-0.013134	0.015687	0.006542	0.436750	-0.550655	-0.398722	-0.589109	-8.439389	-85.616791	-99.076178
60527		9.770324	-0.104854	0.689037	-0.012994	0.017291	0.005105	0.436755	-0.550620	-0.398683	-0.589164	-8.407005	-85.609087	-99.111728
60528		9.746003	-0.102698	0.689078	-0.013135	0.015687	0.006542	0.436777	-0.550584	-0.398669	-0.589191	-8.386906	-85.603354	-99.130860
60529		9.746643	-0.081794	0.717691	-0.012936	0.017373	0.003581	0.436778	-0.550546	-0.398634	-0.589249	-8.343378	-85.595729	-99.177553
60530		9.722320	-0.079489	0.717732	-0.013077	0.015769	0.005017	0.436770	-0.550521	-0.398602	-0.589300	-8.307642	-85.590045	-99.217156
60531		9.765351	-0.133994	0.716735	-0.010086	0.015510	0.006641	0.436784	-0.550488	-0.398572	-0.589341	-8.287204	-85.583220	-99.239053
60532		9.745535	-0.105089	0.695305	-0.014602	0.015858	0.004968	0.436782	-0.550461	-0.398544	-0.589387	-8.254144	-85.577493	-99.274968
60533		9.745414	-0.105614	0.696924	-0.019035	0.017728	0.003384	0.436767	-0.550434	-0.398491	-0.589459	-8.212788	-85.569677	-99.322989
60534		9.721093	-0.103320	0.696972	-0.017652	0.016035	0.004870	0.436764	-0.550411	-0.398457	-0.589506	-8.185729	-85.563868	-99.353521
60535		9.699407	-0.076983	0.699766	-0.016127	0.015946	0.004920	0.436757	-0.550386	-0.398413	-0.589564	-8.156046	-85.556935	-99.388162
60536		9.723489	-0.080400	0.702885	-0.016128	0.015947	0.004920	0.436795	-0.550332	-0.398421	-0.589581	-8.124175	-85.551182	-99.415262
60537		9.716234	-0.131681	0.722700	-0.011682	0.011281	0.001752	0.436782	-0.550305	-0.398408	-0.589624	-8.073891	-85.547149	-99.468007
