// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
11300		9.483602	-0.026942	2.352847	-0.009186	0.008189	0.036741	0.356114	-0.548240	-0.283593	-0.701563	1.791690	-76.223706	-127.580760
11301		9.464068	-0.004889	2.340927	-0.008106	0.006076	0.035222	0.356211	-0.548272	-0.283513	-0.701521	1.727857	-76.222988	-127.515321
11302		9.472038	-0.029944	2.332807	-0.010165	0.004952	0.038579	0.356321	-0.548319	-0.283421	-0.701466	1.652134	-76.223447	-127.437961
11303		9.495929	0.030913	2.333780	-0.014641	0.005084	0.037300	0.356406	-0.548369	-0.283315	-0.701426	1.579774	-76.223292	-127.367598
11304		9.475732	0.015745	2.342580	-0.019964	0.003464	0.041692	0.356514	-0.548432	-0.283198	-0.701370	1.493063	-76.224125	-127.281702
11305		9.476413	0.048223	2.322118	-0.015742	0.007205	0.038843	0.356605	-0.548478	-0.283079	-0.701335	1.416344	-76.222730	-127.207498
11306		9.504495	0.033859	2.305595	-0.016266	0.003504	0.037915	0.356702	-0.548534	-0.282977	-0.701283	1.339763	-76.223621	-127.131398
11307		9.490037	0.017150	2.254773	-0.010599	0.002744	0.041528	0.356809	-0.548591	-0.282877	-0.701224	1.259964	-76.224768	-127.050990
11308		9.526862	0.016934	2.348536	-0.016224	0.000832	0.038079	0.356903	-0.548655	-0.282782	-0.701165	1.184326	-76.227003	-126.975623
11309		9.501662	0.040025	2.396308	-0.032494	0.016654	0.039458	0.356963	-0.548699	-0.282586	-0.701179	1.096163	-76.220106	-126.899517
11310		9.486915	0.022831	2.346617	-0.035715	0.013486	0.040654	0.357024	-0.548759	-0.282388	-0.701180	1.002645	-76.215164	-126.818227
11311		9.477886	0.003959	2.237546	-0.026328	0.019597	0.044031	0.357121	-0.548789	-0.282196	-0.701185	0.907387	-76.206565	-126.731173
11312		9.465457	-0.032699	2.238512	-0.005835	0.007502	0.039799	0.357239	-0.548820	-0.282108	-0.701137	0.834524	-76.204937	-126.655468
11313		9.482011	-0.043707	2.340863	-0.001378	0.000519	0.037532	0.357354	-0.548862	-0.282055	-0.701066	0.769476	-76.207161	-126.584800
11314		9.464924	-0.041503	2.379562	-0.007508	0.008602	0.040257	0.357469	-0.548894	-0.281956	-0.701022	0.694497	-76.204955	-126.508284
11315		9.462505	-0.025406	2.329391	-0.015481	0.005282	0.032305	0.357534	-0.548938	-0.281860	-0.700994	0.633421	-76.204374	-126.450027
11316		9.491562	-0.002639	2.291736	-0.027012	0.000746	0.032154	0.357569	-0.549019	-0.281735	-0.700962	0.563636	-76.206792	-126.388622
11317		9.505990	0.006061	2.342806	-0.025766	-0.002562	0.034630	0.357603	-0.549112	-0.281610	-0.700922	0.491396	-76.210686	-126.324937
11318		9.515035	0.017682	2.312961	-0.023079	-0.003095	0.032513	0.357660	-0.549191	-0.281517	-0.700869	0.424814	-76.214866	-126.261915
11319		9.466774	0.013753	2.338098	-0.014311	-0.002191	0.031088	0.357713	-0.549257	-0.281442	-0.700820	0.367330	-76.218498	-126.206668
11320		9.487010	0.021612	2.329548	-0.008350	-0.002238	0.027929	0.357801	-0.549297	-0.281416	-0.700754	0.319990	-76.222044	-126.153854
11321		9.506228	-0.006727	2.341838	-0.001926	-0.002751	0.021998	0.357856	-0.549330	-0.281410	-0.700703	0.290798	-76.225948	-126.120430
11322		9.503025	-0.026064	2.311749	-0.011217	-0.000505	0.026059	0.357913	-0.549377	-0.281361	-0.700656	0.244602	-76.228915	-126.073610
11323		9.525453	-0.037412	2.354008	-0.006975	-0.003624	0.019628	0.357945	-0.549419	-0.281346	-0.700613	0.218027	-76.233304	-126.045860
11324		9.506362	-0.013578	2.341265	-0.004792	-0.001019	0.020128	0.357989	-0.549454	-0.281327	-0.700571	0.188421	-76.236699	-126.014139
11325		9.509653	0.001236	2.371026	-0.004170	-0.002675	0.021364	0.358035	-0.549490	-0.281315	-0.700524	0.159351	-76.240540	-125.982167
11326		9.523406	-0.023651	2.302526	0.000760	-0.003287	0.019881	0.358108	-0.549513	-0.281336	-0.700460	0.134888	-76.244900	-125.949361
11327		9.487416	0.006361	2.327983	-0.003712	-0.003136	0.018597	0.358146	-0.549545	-0.281334	-0.700416	0.112526	-76.248996	-125.924026
11328		9.465125	0.013683	2.285159	-0.001590	-0.004697	0.015380	0.358191	-0.549574	-0.281357	-0.700361	0.096072	-76.254328	-125.901628
11329		9.494453	0.038057	2.246753	-0.009635	-0.005758	0.021914	0.358220	-0.549632	-0.281330	-0.700312	0.062522	-76.259924	-125.868269
11330		9.446322	0.035699	2.271393	-0.009239	-0.010386	0.015428	0.358241	-0.549693	-0.281339	-0.700249	0.041142	-76.268534	-125.844614
11331		9.447721	0.071140	2.249282	-0.000477	-0.016340	0.010419	0.358240	-0.549755	-0.281394	-0.700179	0.039762	-76.280183	-125.838971
11332		9.484053	0.038343	2.222228	0.002698	-0.010499	0.009091	0.358277	-0.549776	-0.281474	-0.700112	0.044161	-76.288246	-125.833219
11333		9.498841	0.050117	2.272131	0.008762	-0.015914	0.006211	0.358287	-0.549814	-0.281572	-0.700037	0.057961	-76.299649	-125.837751
11334		9.456579	0.047926	2.236617	0.005903	-0.014181	0.004336	0.358309	-0.549842	-0.281676	-0.699961	0.072107	-76.310294	-125.840946
11335		9.488336	0.054152	2.247990	0.001941	-0.017171	0.000427	0.358279	-0.549889	-0.281769	-0.699903	0.095649	-76.322412	-125.859525
11336		9.451603	0.049309	2.293151	-0.000342	-0.014416	-0.000360	0.358255	-0.549925	-0.281858	-0.699851	0.119072	-76.333055	-125.877631
11337		9.479015	0.001953	2.295287	-0.005757	-0.020178	0.000334	0.358199	-0.549995	-0.281929	-0.699796	0.138510	-76.346892	-125.896523
11338		9.450221	0.068749	2.238828	-0.011727	-0.020119	0.003509	0.358158	-0.550082	-0.281978	-0.699730	0.142049	-76.361321	-125.900312
11339		9.461934	0.063909	2.257971	-0.010762	-0.023724	-0.001887	0.358075	-0.550170	-0.282044	-0.699676	0.163951	-76.377184	-125.924688
11340		9.451228	0.068324	2.234586	-0.014660	-0.022549	-0.002076	0.358004	-0.550256	-0.282107	-0.699619	0.182184	-76.392591	-125.944590
11341		9.459675	0.047112	2.223503	-0.012039	-0.027251	-0.007919	0.357891	-0.550351	-0.282192	-0.699568	0.217783	-76.410459	-125.983807
11342		9.435574	0.074959	2.267872	-0.011998	-0.029927	-0.007768	0.357786	-0.550452	-0.282289	-0.699503	0.252984	-76.430004	-126.020994
11343		9.484529	0.076021	2.239409	-0.010463	-0.032508	-0.012072	0.357656	-0.550556	-0.282400	-0.699443	0.299626	-76.450859	-126.070633
11344		9.524546	0.061835	2.240481	-0.013786	-0.030310	-0.011168	0.357542	-0.550657	-0.282503	-0.699380	0.339795	-76.470764	-126.113021
11345		9.476958	0.062466	2.263237	-0.010684	-0.028631	-0.016216	0.357403	-0.550742	-0.282617	-0.699338	0.396409	-76.489365	-126.173038
11346		9.509054	0.070003	2.273217	-0.017812	-0.030616	-0.015204	0.357248	-0.550852	-0.282707	-0.699295	0.444708	-76.509474	-126.228528
11347		9.487242	0.080178	2.227741	-0.018932	-0.035333	-0.017223	0.357072	-0.550974	-0.282808	-0.699247	0.499457	-76.531884	-126.291478
11348		9.499220	0.076704	2.245909	-0.023381	-0.028341	-0.014925	0.356903	-0.551088	-0.282870	-0.699219	0.543541	-76.550771	-126.346474
11349		9.476341	0.050028	2.221500	-0.023468	-0.032497	-0.018628	0.356715	-0.551206	-0.282954	-0.699188	0.599344	-76.571523	-126.413169
11350		9.500604	0.079015	2.239969	-0.023477	-0.032494	-0.018619	0.356549	-0.551317	-0.283052	-0.699145	0.653678	-76.592432	-126.474894
11351		9.497934	0.063514	2.206837	-0.020169	-0.034684	-0.019513	0.356364	-0.551436	-0.283153	-0.699105	0.713947	-76.614401	-126.544224
11352		9.525828	0.017877	2.206962	-0.011929	-0.037485	-0.021911	0.356198	-0.551544	-0.283302	-0.699044	0.784339	-76.638137	-126.617593
11353		9.522101	0.058053	2.242459	-0.003241	-0.031234	-0.023670	0.356049	-0.551614	-0.283468	-0.698997	0.864682	-76.658056	-126.697574
11354		9.542000	0.034028	2.251912	-0.003569	-0.029294	-0.017037	0.355943	-0.551685	-0.283620	-0.698933	0.926504	-76.677235	-126.756395
11355		9.562790	0.046776	2.240619	0.001807	-0.030361	-0.021308	0.355817	-0.551747	-0.283795	-0.698878	1.004426	-76.696631	-126.830902
11356		9.583506	0.059627	2.229590	0.001845	-0.023527	-0.017746	0.355727	-0.551790	-0.283954	-0.698825	1.070712	-76.712583	-126.891858
11357		9.615453	0.067650	2.240160	0.003588	-0.020466	-0.014490	0.355644	-0.551824	-0.284099	-0.698782	1.133023	-76.726344	-126.949267
11358		9.615761	0.069048	2.238793	0.009055	-0.007870	-0.011655	0.355609	-0.551806	-0.284237	-0.698758	1.191332	-76.732970	-126.998596
11359		9.615891	0.070476	2.238190	0.007801	-0.004557	-0.014121	0.355562	-0.551776	-0.284367	-0.698752	1.254528	-76.737595	-127.054430
11360		9.616747	0.108886	2.217295	0.009325	0.002378	-0.015022	0.355538	-0.551717	-0.284500	-0.698757	1.318847	-76.738486	-127.108854
11361		9.596512	0.099367	2.226231	0.007755	0.007628	-0.010866	0.355519	-0.551650	-0.284600	-0.698778	1.373461	-76.736148	-127.155896
11362		9.545557	0.120308	2.202097	0.016939	0.010747	-0.015259	0.355526	-0.551548	-0.284744	-0.698797	1.442568	-76.732187	-127.210880
11363		9.549753	0.083853	2.164568	0.022534	0.015317	-0.011974	0.355555	-0.551426	-0.284885	-0.698820	1.507807	-76.725404	-127.260140
11364		9.513475	0.117207	2.191934	0.027054	0.012495	-0.010555	0.355620	-0.551300	-0.285059	-0.698816	1.571665	-76.720293	-127.301765
11365		9.493068	0.107803	2.201602	0.027631	0.013518	-0.009467	0.355670	-0.551179	-0.285214	-0.698823	1.633755	-76.714556	-127.344791
11366		9.489330	0.092148	2.173033	0.018355	0.015751	-0.005376	0.355739	-0.551068	-0.285337	-0.698826	1.676973	-76.708006	-127.369988
11367		9.461826	0.140021	2.170678	0.010250	0.010516	-0.002521	0.355761	-0.550998	-0.285417	-0.698837	1.712407	-76.704090	-127.395857
11368		9.438085	0.112642	2.150179	0.014725	0.010371	-0.001252	0.355801	-0.550920	-0.285513	-0.698838	1.748567	-76.700251	-127.419284
11369		9.462239	0.177608	2.151627	0.009264	0.007279	-0.000684	0.355822	-0.550866	-0.285591	-0.698839	1.779195	-76.698214	-127.440796
11370		9.470065	0.156888	2.143308	0.021848	0.002859	-0.005664	0.355878	-0.550791	-0.285750	-0.698805	1.827674	-76.698767	-127.469560
11371		9.453218	0.163842	2.182183	0.021753	0.008213	-0.005964	0.355916	-0.550704	-0.285883	-0.698799	1.878154	-76.696090	-127.504119
11372		9.520519	0.139409	2.169451	0.021975	0.004343	-0.001807	0.355975	-0.550633	-0.286021	-0.698768	1.917927	-76.695920	-127.525825
11373		9.525009	0.102139	2.131008	0.028423	0.001162	-0.007601	0.356016	-0.550556	-0.286195	-0.698737	1.976754	-76.697235	-127.565032
11374		9.514545	0.144685	2.088725	0.036880	-0.005498	-0.005834	0.356080	-0.550492	-0.286407	-0.698668	2.035298	-76.702725	-127.598612
11375		9.472431	0.142958	2.194536	0.032091	-0.005645	-0.014952	0.356095	-0.550422	-0.286626	-0.698625	2.114675	-76.707766	-127.656774
11376		9.489775	0.137550	2.296045	0.006539	-0.001261	-0.016563	0.356057	-0.550374	-0.286765	-0.698625	2.182309	-76.710339	-127.715240
11377		9.574721	0.143918	2.223645	-0.015125	0.004195	-0.003521	0.355997	-0.550370	-0.286771	-0.698657	2.206077	-76.709969	-127.744058
11378		9.510685	0.223822	2.106663	-0.009951	0.016075	0.006075	0.356010	-0.550328	-0.286753	-0.698691	2.207543	-76.703248	-127.745592
