// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B4245A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
29085		9.459032	-0.064478	2.425331	-0.030555	-0.013230	0.018310	0.409255	-0.528019	-0.310903	-0.676052	-2.715977	-75.560832	-115.516514
29086		9.485951	-0.111351	2.337934	-0.020072	-0.010538	0.018269	0.409236	-0.528108	-0.310862	-0.676012	-2.747983	-75.568662	-115.490779
29087		9.473079	-0.155616	2.367905	-0.008363	-0.024346	0.012687	0.409202	-0.528217	-0.310899	-0.675931	-2.763642	-75.584787	-115.476044
29088		9.491596	-0.169556	2.488100	-0.010328	-0.024966	0.011950	0.409165	-0.528326	-0.310937	-0.675850	-2.777614	-75.601045	-115.463168
29089		9.450292	-0.175126	2.481671	-0.025958	-0.025998	0.013442	0.409089	-0.528473	-0.310920	-0.675789	-2.804489	-75.617930	-115.446443
29090		9.464110	-0.134431	2.447770	-0.038933	-0.020955	0.007259	0.408967	-0.528620	-0.310866	-0.675773	-2.824014	-75.632023	-115.444756
29091		9.483617	-0.153136	2.411940	-0.041454	-0.022027	0.008039	0.408832	-0.528780	-0.310799	-0.675761	-2.847139	-75.646793	-115.441977
29092		9.479784	-0.126057	2.427782	-0.033943	-0.027606	0.012725	0.408731	-0.528947	-0.310761	-0.675709	-2.876831	-75.664535	-115.426845
29093		9.480426	-0.128014	2.425173	-0.027937	-0.026614	0.012713	0.408647	-0.529102	-0.310738	-0.675649	-2.904771	-75.681917	-115.410412
29094		9.470855	-0.170822	2.419987	-0.023023	-0.023597	0.013393	0.408583	-0.529234	-0.310727	-0.675589	-2.929349	-75.697342	-115.394103
29095		9.456839	-0.184735	2.433223	-0.025107	-0.023347	0.014889	0.408517	-0.529370	-0.310705	-0.675532	-2.957227	-75.712494	-115.375705
29096		9.473245	-0.205499	2.431553	-0.036263	-0.022678	0.016362	0.408430	-0.529531	-0.310639	-0.675489	-2.996055	-75.727300	-115.352521
29097		9.462224	-0.218496	2.410611	-0.040972	-0.019698	0.018534	0.408338	-0.529699	-0.310543	-0.675457	-3.043176	-75.740611	-115.324271
29098		9.469765	-0.182327	2.445934	-0.055860	-0.017206	0.023719	0.408232	-0.529892	-0.310380	-0.675444	-3.109286	-75.752051	-115.284527
29099		9.500611	-0.192740	2.429023	-0.058955	-0.021667	0.028358	0.408123	-0.530117	-0.310201	-0.675416	-3.188498	-75.765955	-115.233822
29100		9.457768	-0.169827	2.407288	-0.052922	-0.014803	0.023676	0.408028	-0.530296	-0.310044	-0.675405	-3.252705	-75.775997	-115.194310
29101		9.458112	-0.173379	2.405682	-0.055888	-0.017191	0.023748	0.407917	-0.530494	-0.309875	-0.675394	-3.320276	-75.787543	-115.154136
29102		9.442642	-0.158048	2.403463	-0.052593	-0.017386	0.016996	0.407797	-0.530671	-0.309742	-0.675388	-3.369692	-75.799264	-115.129690
29103		9.443016	-0.160952	2.401802	-0.055661	-0.015972	0.016967	0.407669	-0.530848	-0.309596	-0.675393	-3.419780	-75.810070	-115.106440
29104		9.389919	-0.177944	2.377356	-0.054578	-0.017993	0.016276	0.407540	-0.531030	-0.309459	-0.675391	-3.468907	-75.822153	-115.083468
29105		9.429699	-0.115744	2.347539	-0.055025	-0.019308	0.015567	0.407411	-0.531216	-0.309327	-0.675383	-3.518415	-75.835030	-115.059663
29106		9.412632	-0.132042	2.395265	-0.059182	-0.023573	0.008922	0.407236	-0.531414	-0.309205	-0.675388	-3.554409	-75.850554	-115.052959
29107		9.433745	-0.118568	2.308733	-0.057547	-0.025136	0.006713	0.407054	-0.531611	-0.309098	-0.675392	-3.583949	-75.867018	-115.052125
29108		9.447097	-0.140603	2.341350	-0.056973	-0.018789	0.000548	0.406864	-0.531776	-0.308997	-0.675424	-3.599042	-75.880106	-115.065668
29109		9.418452	-0.166045	2.370391	-0.058398	-0.018938	-0.001693	0.406656	-0.531945	-0.308892	-0.675464	-3.610267	-75.893519	-115.085112
29110		9.427502	-0.158846	2.421730	-0.060378	-0.019546	-0.002418	0.406446	-0.532115	-0.308788	-0.675504	-3.620665	-75.907148	-115.105507
29111		9.448071	-0.207329	2.401692	-0.060812	-0.017915	-0.005454	0.406229	-0.532273	-0.308689	-0.675555	-3.624074	-75.919828	-115.133011
29112		9.450148	-0.175502	2.349835	-0.060694	-0.015824	-0.010006	0.405998	-0.532419	-0.308597	-0.675621	-3.616775	-75.931604	-115.171834
29113		9.477928	-0.184393	2.367580	-0.065298	-0.013700	-0.010036	0.405756	-0.532570	-0.308482	-0.675700	-3.612456	-75.942378	-115.210823
29114		9.469652	-0.193174	2.312886	-0.063224	-0.013940	-0.011529	0.405515	-0.532713	-0.308382	-0.675777	-3.602786	-75.953129	-115.253582
29115		9.440947	-0.217562	2.342321	-0.056540	-0.013354	-0.015311	0.405275	-0.532839	-0.308306	-0.675857	-3.581806	-75.963859	-115.305349
29116		9.470300	-0.193035	2.310243	-0.056535	-0.010402	-0.017625	0.405037	-0.532947	-0.308237	-0.675946	-3.553756	-75.972798	-115.363099
29117		9.400962	-0.251267	2.351781	-0.052815	-0.012203	-0.021347	0.404795	-0.533043	-0.308197	-0.676033	-3.513289	-75.982746	-115.431006
29118		9.453494	-0.205780	2.357496	-0.046251	-0.013709	-0.020576	0.404570	-0.533136	-0.308178	-0.676103	-3.472916	-75.993661	-115.495380
29119		9.450894	-0.206921	2.390597	-0.044824	-0.010610	-0.020644	0.404356	-0.533213	-0.308160	-0.676178	-3.430586	-76.002710	-115.560217
29120		9.464138	-0.226617	2.424066	-0.046804	-0.011217	-0.021369	0.404131	-0.533297	-0.308136	-0.676258	-3.388216	-76.012203	-115.626969
29121		9.431315	-0.157759	2.406912	-0.043292	-0.008361	-0.022942	0.403918	-0.533359	-0.308124	-0.676341	-3.339336	-76.019935	-115.697675
29122		9.435813	-0.185136	2.387500	-0.039228	-0.005039	-0.026031	0.403706	-0.533400	-0.308125	-0.676435	-3.280951	-76.026022	-115.776454
29123		9.466354	-0.190186	2.371755	-0.038914	-0.005822	-0.020750	0.403512	-0.533451	-0.308115	-0.676516	-3.234229	-76.032285	-115.843036
29124		9.505590	-0.187084	2.409169	-0.029594	-0.007953	-0.025249	0.403324	-0.533483	-0.308152	-0.676585	-3.172377	-76.039977	-115.919695
29125		9.497234	-0.193110	2.354816	-0.011180	-0.013467	-0.027464	0.403172	-0.533495	-0.308268	-0.676613	-3.097157	-76.050966	-115.999085
29126		9.455708	-0.194255	2.349579	0.001209	-0.017007	-0.031949	0.403030	-0.533486	-0.308446	-0.676624	-3.003126	-76.063993	-116.090708
29127		9.422876	-0.186646	2.397636	0.005934	-0.014065	-0.038790	0.402881	-0.533444	-0.308653	-0.676652	-2.888859	-76.075266	-116.200310
29128		9.511405	-0.138492	2.476274	-0.010397	-0.005844	-0.040388	0.402696	-0.533408	-0.308791	-0.676728	-2.780381	-76.082061	-116.313659
29129		9.563568	-0.156277	2.392394	-0.024767	0.001791	-0.026960	0.402536	-0.533393	-0.308833	-0.676815	-2.710821	-76.084030	-116.394538
29130		9.559194	-0.127870	2.255021	-0.026750	0.002938	-0.015707	0.402405	-0.533397	-0.308832	-0.676890	-2.667654	-76.085066	-116.450250
29131		9.479793	-0.161824	2.384609	-0.015364	-0.011232	-0.012459	0.402296	-0.533432	-0.308890	-0.676901	-2.627865	-76.094115	-116.495544
29132		9.505991	-0.201941	2.453238	0.002534	0.002277	-0.015079	0.402244	-0.533381	-0.308988	-0.676928	-2.569394	-76.095492	-116.549735
29133		9.458239	-0.209932	2.362111	0.002758	0.003535	-0.021864	0.402170	-0.533315	-0.309102	-0.676972	-2.494938	-76.096322	-116.620490
29134		9.466919	-0.199697	2.415563	-0.002073	-0.000317	-0.024763	0.402069	-0.533267	-0.309216	-0.677018	-2.416942	-76.099389	-116.697514
29135		9.458300	-0.205785	2.362234	-0.005368	-0.000166	-0.017991	0.401987	-0.533235	-0.309300	-0.677053	-2.358142	-76.102188	-116.756277
29136		9.466943	-0.132403	2.349860	0.005817	-0.003776	-0.017218	0.401927	-0.533195	-0.309427	-0.677062	-2.293344	-76.107018	-116.815045
29137		9.467097	-0.130722	2.349336	0.010858	-0.007525	-0.014160	0.401890	-0.533161	-0.309571	-0.677044	-2.234593	-76.113942	-116.864181
29138		9.497650	-0.135099	2.333543	0.017990	-0.005602	-0.017236	0.401860	-0.533102	-0.309743	-0.677030	-2.162846	-76.119786	-116.922920
29139		9.490490	-0.106333	2.386299	0.011520	-0.001998	-0.022535	0.401802	-0.533039	-0.309898	-0.677043	-2.084702	-76.123853	-116.992138
29140		9.505031	-0.091736	2.370564	0.006032	-0.005473	-0.021683	0.401725	-0.532997	-0.310041	-0.677057	-2.009381	-76.129677	-117.061613
29141		9.519586	-0.077192	2.354744	0.007019	-0.003689	-0.022475	0.401648	-0.532949	-0.310182	-0.677076	-1.932733	-76.134581	-117.132665
29142		9.529702	-0.033850	2.357749	0.005591	-0.003834	-0.024716	0.401562	-0.532897	-0.310328	-0.677101	-1.850387	-76.139479	-117.209633
29143		9.557278	-0.039708	2.376659	0.006468	-0.001202	-0.023273	0.401486	-0.532840	-0.310465	-0.677128	-1.772155	-76.142895	-117.282257
29144		9.515378	-0.041192	2.372838	0.007563	-0.000266	-0.026299	0.401406	-0.532769	-0.310615	-0.677162	-1.684657	-76.145724	-117.363366
29145		9.525381	0.002449	2.376140	0.002077	-0.000790	-0.027761	0.401306	-0.532712	-0.310751	-0.677204	-1.598310	-76.149049	-117.446584
29146		9.536946	0.015174	2.394972	-0.002530	-0.001637	-0.025468	0.401199	-0.532668	-0.310867	-0.677249	-1.518540	-76.152593	-117.525688
29147		9.513883	-0.002731	2.357033	-0.004508	0.000703	-0.028509	0.401082	-0.532616	-0.310981	-0.677307	-1.433292	-76.154890	-117.611490
29148		9.513850	-0.000160	2.357166	-0.007582	0.002106	-0.028522	0.400957	-0.532564	-0.311081	-0.677376	-1.349039	-76.156278	-117.698190
29149		9.525326	0.012750	2.376327	-0.004953	0.002343	-0.031539	0.400833	-0.532500	-0.311200	-0.677445	-1.256315	-76.157485	-117.791510
29150		9.505070	-0.002685	2.304376	-0.008028	0.003746	-0.031551	0.400699	-0.532439	-0.311303	-0.677524	-1.165163	-76.157904	-117.885577
29151		9.490595	-0.012107	2.320111	-0.005947	0.003515	-0.033054	0.400569	-0.532372	-0.311419	-0.677601	-1.070213	-76.158377	-117.981821
29152		9.488916	0.021430	2.304767	-0.013075	0.001580	-0.029976	0.400424	-0.532331	-0.311505	-0.677679	-0.985691	-76.159950	-118.072038
29153		9.447022	0.019882	2.300888	-0.015375	-0.004152	-0.031342	0.400261	-0.532313	-0.311597	-0.677747	-0.901069	-76.164835	-118.163781
